epoch,step,loss,eval_loss,learning_rate,elapsed_seconds
0.1282051282051282,10,0.6931482315063476,,7.500000000000001e-06,2.9546522690006896
0.2564102564102564,20,0.6928109169006348,,1.5833333333333333e-05,5.319858971000031
0.38461538461538464,30,0.6922360897064209,,1.9523809523809524e-05,7.691474156999902
0.5128205128205128,40,0.6982095241546631,,1.8571428571428575e-05,10.07084926600055
0.6410256410256411,50,0.6941897869110107,,1.761904761904762e-05,12.446005781000167
0.7692307692307693,60,0.6946133136749267,,1.6666666666666667e-05,14.826578152000366
0.8974358974358975,70,0.6980650424957275,,1.5714285714285715e-05,17.20716129199991
1.0,78,,0.691028356552124,,20.066187865000757
1.0256410256410255,80,0.6926180362701416,,1.4761904761904763e-05,21.35650188799991
1.1538461538461537,90,0.6890476226806641,,1.3809523809523811e-05,23.745144232000712
1.282051282051282,100,0.6885524272918702,,1.2857142857142859e-05,26.131117068000094
1.4102564102564101,110,0.6895980358123779,,1.1904761904761905e-05,28.51513586100009
1.5384615384615383,120,0.6940999507904053,,1.0952380952380955e-05,30.90372643200044
1.6666666666666665,130,0.6948317527770996,,1e-05,33.278541425000185
1.7948717948717947,140,0.6882708072662354,,9.047619047619049e-06,35.66635310099991
1.9230769230769231,150,0.6909048080444335,,8.095238095238097e-06,38.06123582800046
2.0,156,,0.6901993155479431,,40.451210521000576
2.051282051282051,160,0.6876190185546875,,7.1428571428571436e-06,42.09092401599992
2.1794871794871793,170,0.6919353008270264,,6.1904761904761914e-06,44.486237455000264
2.3076923076923075,180,0.6923540592193603,,5.2380952380952384e-06,46.90190406500005
2.435897435897436,190,0.6924550056457519,,4.2857142857142855e-06,49.302595334000216
2.564102564102564,200,0.6910274028778076,,3.3333333333333333e-06,51.71192573600001
2.6923076923076925,210,0.6865863800048828,,2.380952380952381e-06,54.10497889599992
2.8205128205128203,220,0.6908992290496826,,1.4285714285714286e-06,56.50463849100015
2.948717948717949,230,0.6923999309539794,,4.7619047619047623e-07,58.90079452400005
3.0,234,,0.6907352805137634,,60.81807362500058
3.0,234,,,,61.50978301500072
