epoch,step,loss,eval_loss,learning_rate,elapsed_seconds
0.1282051282051282,10,1.8947708129882812,,7.500000000000001e-06,2.977656005999961
0.2564102564102564,20,1.8878225326538085,,1.5833333333333333e-05,5.423844337999981
0.38461538461538464,30,1.8855758666992188,,1.9523809523809524e-05,7.870368976999998
0.5128205128205128,40,1.875176239013672,,1.8571428571428575e-05,10.321240134000618
0.6410256410256411,50,1.8647350311279296,,1.761904761904762e-05,12.767757898000127
0.7692307692307693,60,1.8533662796020507,,1.6666666666666667e-05,15.225860696999916
0.8974358974358975,70,1.84766845703125,,1.5714285714285715e-05,17.683910465000736
1.0,78,,1.838584065437317,,20.59359518400015
1.0256410256410255,80,1.8475275039672852,,1.4761904761904763e-05,21.841090819000783
1.1538461538461537,90,1.8364295959472656,,1.3809523809523811e-05,24.29934644700006
1.282051282051282,100,1.8293481826782227,,1.2857142857142859e-05,26.762967856000614
1.4102564102564101,110,1.8255741119384765,,1.1904761904761905e-05,29.228726958000152
1.5384615384615383,120,1.8216974258422851,,1.0952380952380955e-05,31.68794721100039
1.6666666666666665,130,1.8139236450195313,,1e-05,34.13515703400026
1.7948717948717947,140,1.8076568603515626,,9.047619047619049e-06,36.59717512000043
1.9230769230769231,150,1.8030755996704102,,8.095238095238097e-06,39.06135361900033
2.0,156,,1.7963688373565674,,41.48747678700056
2.051282051282051,160,1.792300033569336,,7.1428571428571436e-06,43.137539850000394
2.1794871794871793,170,1.7976057052612304,,6.1904761904761914e-06,45.60015674500028
2.3076923076923075,180,1.790317916870117,,5.2380952380952384e-06,48.08215257300071
2.435897435897436,190,1.7904228210449218,,4.2857142857142855e-06,50.54987523900036
2.564102564102564,200,1.7863731384277344,,3.3333333333333333e-06,53.031224532000124
2.6923076923076925,210,1.7816244125366212,,2.380952380952381e-06,55.499142980000215
2.8205128205128203,220,1.7832250595092773,,1.4285714285714286e-06,57.96816526100065
2.948717948717949,230,1.7829565048217773,,4.7619047619047623e-07,60.433264115000384
3.0,234,,1.7817904949188232,,62.37262728099995
3.0,234,,,,63.04887387100007
